,Nama Produk,harga,pengiriman,diskon
164,Cap Panda Liang Teh,Rp6.700,Instant,6%
165,Cap Panda Grass Jelly,Rp6.700,Instant,6%
166,Acaii Tea Super Orange,Rp27.800,Instant,
167,Acaii Tea Bee & C Shot,Rp24.400,Instant,
168,Acaii Chlorophyll Green,Rp18.100,Instant,
169,Acaii Tea Teatox Berry,Rp23.100,Instant,
170,Acaii Tea Honey Lemon Jelly,Rp23.100,Instant,
171,Acaii Tea Anti-flu Shot,Rp25.100,Instant,
172,Coco Loco Coconut Water,Rp34.900,Instant,
173,Hemaviton Vitamin C 1000 Orange,Rp7.000,Instant,8%
174,Ultra Sari Kacang Ijo,Rp5.600,Instant,
175,Larutan Cap Kaki Tiga Orange,Rp6.600,Instant,6%
176,Kiranti Sehat Datang Bulan Original,Rp8.100,Instant,
177,Adem Sari Ching Ku Sparkling Herbal Lemon,Rp9.252,Instant,4%
178,YOU-C 1000 Apple,Rp8.200,Instant,
179,YOU-C 1000 Lemon Water,Rp9.300,Instant,
180,Larutan Penyegar Cap Kaki Tiga,Rp4.000,Instant,7%
181,YOU-C 1000 Lemon,Rp8.200,Instant,
182,YOU-C 1000 Orange Water,Rp9.300,Instant,
183,Larutan Cap Kaki Tiga Anak Tawar,Rp4.000,Instant,7%
184,Larutan Cap Kaki Tiga Leci,Rp6.600,Instant,6%
185,Rejuve Cold Pressed Juice Green Glory,Rp57.000,Instant,
186,Rejuve Cold Pressed Juice Beat That,Rp47.000,Instant,
187,Rejuve Cold Pressed Juice Asian Green,Rp47.000,Instant,
188,Rejuve Cold Pressed Juice U.Glow,Rp47.000,Instant,
189,Rejuve Cold Pressed Juice I.Glow,Rp47.000,Instant,
190,Evian Natural Mineral Water Glass 330ml x 20pcs,Rp720.000,Instant,
191,Evian Natural Mineral Water PET 500ml x 24pcs,Rp572.000,Instant,
192,Evian Natural Mineral Water PET 1500ml x 12pcs,Rp516.500,Instant,
193,Evian Natural Mineral Water PET 750ml x 12pcs,Rp479.500,Instant,
194,AQUA Air Mineral Dus 330ml,Rp61.700,Instant,7%
195,Evian Natural Mineral Water PET 330ml x 24pcs,Rp297.850,Instant,30%
196,Evian Sparkling Mineral Water Glass 330ml x 20pcs,Rp685.000,Instant,
197,Aquviva Air Mineral Botol 700ml,Rp27.800,Instant,
198,Nestle Pure Life Air Mineral Multipack 1500ml,Rp29.600,Instant,
199,Beli 2 Carton Aquviva 1600ml Free Totebag Aquviva,Rp70.200,Instant,
200,[Bundle] 6x Pristine Air Mineral 600ml,Rp30.000,Instant,
201,[Bundle] 6x Pristine Air Mineral 1500ml,Rp55.800,Instant,
202,[Bundle] 6x Pristine Air Mineral 400ml,Rp18.600,Instant,
203,Prima Air Mineral Dus 24pcs x 600ml,Rp44.700,Instant,
204,Prima Air Mineral Dus 24pcs x 330ml,Rp39.600,Instant,
205,Evian Natural Mineral Water Glass,Rp38.500,Instant,
206,Evian Sparkling Mineral Water Glass,Rp40.500,Instant,
207,Evian Natural Mineral Water PET,Rp54.800,Instant,
208,Evian Natural Mineral Water PET,Rp41.500,Instant,
209,Ron88 Air Mineral Botol Dus 1500ml,Rp47.000,Instant,
210,Ron88 Air Mineral Botol Dus 600ml,Rp45.000,Instant,
211,Ron88 Air Mineral Botol Multipack 380ml,Rp38.500,Instant,
212,Ron88 Air Mineral Botol Multipack 240ml,Rp25.000,Instant,
213,Hydra Thera Natural Mineral Water,Rp30.000,Instant,
214,Cleo Air Murni,Rp5.900,Instant,
215,Bundling Mineral Water Astro Goods Multipack 600ml,Rp18.000,Instant,
216,AQUA Air Mineral Botol Dus 1500ml,Rp86.400,Instant,
217,Le Minerale Air Mineral Dus 330ml,Rp57.600,Instant,
218,AQUA Air Mineral Botol Dus 600ml,Rp73.600,Instant,
219,Aquviva Air Mineral 250ml,Rp29.000,Instant,
220,Bundle Aquviva 700ml,Rp15.600,Instant,4%
221, Aquviva Air Mineral 1600ml,Rp35.100,Instant,
222,Bundling Mineral Water Astro Goods Multipack 1500ml,Rp25.200,Instant,
223,Aquviva Mineral Water Botol,Rp2.700,Instant,
224,Aquviva Air Mineral,Rp5.900,Instant,
225,Evian Natural Mineral Water PET,Rp18.700,Instant,
226,ViCA Air Mineral Dus 220ml,Rp29.800,Instant,
227,Cleo Air Murni Botol Multipack 1500ml,Rp36.900,Instant,
228,Nestle Pure Life Air Mineral Botol Dus 1500ml,Rp54.000,Instant,
229,Vit Air Mineral Dus 1500ml,Rp56.600,Instant,
230,Evian Natural Mineral Water PET,Rp23.300,Instant,
231,Vit Air Mineral Cup Dus 200ml,Rp30.400,Instant,
232,AQUA Reflections Still Water Glass Bottle,Rp20.100,Instant,
233,Mineral Water Astro Goods Dus 1500ml,Rp52.020,Instant,15%
234,Cleo Air Murni Multipack 220ml,Rp28.800,Instant,
235,Mineral Water Astro Goods Dus 600ml,Rp61.200,Instant,15%
236,Mineral Water Astro Goods Botol,Rp3.000,Instant,
237,Mineral Water Astro Goods Botol,Rp4.200,Instant,
238,Prima Air Mineral Botol,Rp1.300,Instant,38%
239,Cleo Air Murni Botol,Rp6.400,Instant,
240,AQUA Click n Go Air Mineral Botol,Rp7.200,Instant,
241,Vit Air Mineral,Rp4.700,Instant,
242,AQUA Reflections Sparkling Water Glass Bottle,Rp21.000,Instant,
243,AQUA Air Mineral Multipack 600ml,Rp20.600,Instant,
244,AQUA Cube Air Mineral Dus 220ml,Rp33.600,Instant,
245,Nestle Pure Life Air Mineral Multipack 600ml,Rp15.500,Instant,
246,Nestle Pure Life Air Mineral Botol,Rp6.000,Instant,
247,Nestle Pure Life Air Mineral Botol,Rp2.800,Instant,
248,Amidis Distilled Air Mineral Botol,Rp4.700,Instant,
249,AQUA Air Mineral Multipack 1500ml,Rp38.400,Instant,
250,Le Minerale Air Mineral Botol,Rp6.100,Instant,
251,Pristine Air Mineral Botol,Rp9.300,Instant,
252,Pristine Air Mineral Botol,Rp5.000,Instant,
253,Pristine Air Mineral Botol,Rp3.100,Instant,
254,Crystaline Air Mineral Botol,Rp2.700,Instant,
255,AQUA Air Mineral Cup Dus 200ml,Rp49.600,Instant,
256,Eternal Plus Alkaline Water Botol,Rp10.500,Instant,
257,Le Minerale Air Mineral Botol,Rp2.900,Instant,
258,AQUA Air Mineral Botol,Rp7.200,Instant,
259,AQUA Air Mineral Botol,Rp3.500,Instant,
260,Minute Maid Pulpy Orange,Rp6.400,Instant,
261,Minute Maid Pulpy Orange,Rp15.400,Instant,
262,Tani Organic Pure Lemon Juice Alora,Rp32.500,Instant,
263,Combo Minute Maid x Astro Goods,Rp79.400,Instant,15%
264,Tani Organic Pure Lemon Juice Alora,Rp21.500,Instant,
265,Minute Maid Pulpy Orange Pet Dus 300ml,Rp69.120,Instant,10%
266,Diamond Juice Orange Unsweetened,Rp7.000,Instant,
267,Diamond Juice Blueberry Unsweetened,Rp30.800,Instant,
268,Diamond Juice Cranberry Unsweetened,Rp30.800,Instant,
269,Diamond Juice Blueberry Unsweetened UHT,Rp6.400,Instant,
270,Diamond Jungle Juice Lemon,Rp35.200,Instant,
271,Diamond Jungle Juice Mango,Rp35.100,Instant,
272,Diamond Jungle Juice Grape,Rp35.300,Instant,
273,Diamond Jungle Juice Pineapple,Rp35.200,Instant,
274,Sunfresh Premium Apple Juice,Rp50.700,Instant,
275,Sunfresh Premium Pineapple Juice,Rp56.300,Instant,
276,Sunfresh Premium Orange Juice Unsweetened,Rp57.400,Instant,
277,Buavita Jus Leci,Rp9.100,Instant,
278,Buavita Korean White Peach Juice,Rp11.000,Instant,1%
279,Diamond Jungle Juice Apple,Rp35.200,Instant,
280,Diamond Jungle Juice Guava,Rp35.200,Instant,
281,Diamond Jungle Juice Orange,Rp35.200,Instant,
282,Buavita Jus Jambu,Rp29.500,Instant,14%
283,Diamond Juice Cranberry,Rp40.800,Instant,
284,Buavita Jus Mangga,Rp9.100,Instant,
285,Buavita Jus Jambu,Rp9.100,Instant,
286,Ichitan Korean Banana Milk,Rp9.500,Instant,
287,Yeo's Grass Jelly Can,Rp7.700,Instant,
288,Pororo Blueberry Flavored,Rp16.300,Instant,
289,Nescafe Gula Aren Coffee,Rp7.500,Instant,
290,Baked. Coffee Can Oat Mocha Latte,Rp41.300,Instant,
291,Baked. Coffee Oat Latte Can,Rp41.300,Instant,
292,Baked. Coffee Latte Can,Rp36.100,Instant,
293,Baked. Cold Brew Coffee Can,Rp31.000,Instant,
294,Nescafe Ice Black Can,Rp7.800,Instant,
295,Good Day Avocado Delight Coffee/Kopi,Rp7.800,Instant,
296,Good Day Coffee Originale Cappuccino,Rp7.800,Instant,
297,Nescafe Latte Coffee,Rp7.200,Instant,
298,Nescafe Caramel Macchiato Coffee,Rp7.200,Instant,
299,Nescafe Cappuccino Coffee,Rp7.200,Instant,
300,Yakult Minuman Probiotik,Rp10.900,Instant,
301,Yakult Rasa Mangga Minuman Prebiotik,Rp11.000,Instant,
302,Yakult Minuman Probiotik,Rp22.500,Instant,
303,Heavenly Blush Greek Bfast Yogurt Drink,Rp16.500,Instant,
304,Cimory Mixed Fruit Yogurt Drink UHT,Rp5.500,Instant,
305,Cimory Blueberry Yogurt Drink UHT,Rp5.500,Instant,
306,Heavenly Blush Yoguruto Mango Yogurt Drink,Rp12.500,Instant,
307,Heavenly Blush Yoguruto Lemon Yogurt Drink,Rp12.500,Instant,
308,Cimory Yogurt Drink Strawberry Zero Sugar,Rp10.000,Instant,
309,Cimory Yogurt Drink Strawberry & Mango Zero Sugar,Rp10.000,Instant,
310,KIN Bugarian Slimberriies Yogurt Drink,Rp9.500,Instant,5%
311,Cimory Mixed Fruit Yogurt Drink,Rp8.190,Instant,10%
312,Cimory Yogurt Drink Mixed Berry,Rp10.000,Instant,
313,Cimory Yogurt Drink Lychee,Rp10.000,Instant,
314,Yakult Light Less Sugar Minuman Probiotik,Rp13.300,Instant,
315,KIN Bulgarian Black Yogurt Drink,Rp9.500,Instant,5%
316,Greenfields Yogurt Drink Blueberry,Rp8.550,Instant,10%
317,Greenfields Strawberry Yogurt Drink,Rp9.450,Instant,10%
318,Heavenly Blush Tummy Blueberry Redbeet Yogurt Drink,Rp17.500,Instant,
319,Heavenly Blush Tummy Mango Carot Yogurt Drink,Rp17.500,Instant,
320,Heavenly Blush Youruto Peach Yogurt Drink,Rp12.600,Instant,
321,Heavenly Blush Youruto Blackcurrant Yogurt Drink,Rp11.340,Instant,10%
322,Heavenly Blush Yoguruto Strawberry Yogurt Drink,Rp12.600,Instant,
323,Heavenly Blush Yoguruto Original Yogurt Drink,Rp12.600,Instant,
324,KIN Bulgarian Blueberry Yogurt Drink,Rp9.500,Instant,5%
325,Cimory Yogurt Drink Plain,Rp9.100,Instant,
326,Cimory Blueberry Yogurt Drink,Rp8.645,Instant,5%
327,Cimory Strawberry Yogurt Drink,Rp9.100,Instant,
328,ChocoDrink Belgian Chocolate Minuman Bubuk 4+2 sachet x 28 gram,Rp7.600,Instant,
329,Red Bull Energy Drink Can Multipack 250ml,Rp98.600,Instant,
330,Redbull Energy Drink,Rp27.700,Instant,
331,Bubuk Tepung Akar Teratai Lotus Root Starch West Lake Brand,Rp45.525,Instant,25%
332,Milo 3In1 Activ-Go Polybag 340gr,Rp45.700,Instant,
333,One% Nutrition Protein Water Honey Lemon,Rp35.000,Instant,
334,One% Nutrition Protein Water Strawberry,Rp35.000,Instant,
335,Extrajoss Ultimate Can,Rp8.500,Instant,
336,Kratingdaeng Redbull Can,Rp8.700,Instant,
337,Tropicana Slim Almond Drink Chocolicious,Rp10.000,Instant,13%
338,Tropicana Slim Almond Drink Banana Delight,Rp9.600,Instant,14%
339,Tropicana Slim Oat Drink,Rp8.800,Instant,11%
340,Vitmaker Raspberry Lemon Minuman Kolagen,Rp324.400,Instant,
341,Hotto Purto Multigrain Purple Potato Minuman Tinggi Serat,Rp292.200,Instant,
342,SIS Hydro+ Electrolyte Drink Mix Berry,Rp32.000,Instant,
343,NEWLAB Fitlogy Coffee Minuman Diet,Rp209.200,Instant,
344,Enhans Vibe Persik Minuman Tinggi Serat,Rp179.000,Instant,
345,Herbilogy Beetroot Extract Powder Minuman Herbal,Rp104.800,Instant,9%
346,Vitmaker Raspberry Lemon Minuman Kolagen,Rp139.920,Instant,20%
347,Herbilogy Empon Mix Extract Powder Minuman Herbal,Rp109.500,Instant,
348,Flimty Raspberry Minuman Tinggi Serat,Rp294.600,Instant,
349,Flimty Blackcurrant Minuman Tinggi Serat,Rp280.300,Instant,
350,Balans Lite Tropical Fruit Fiber & Probiotics Drink,Rp396.500,Instant,
351,Balans Active Powder Mixed Berries Fiber & Probiotics Drink,Rp396.500,Instant,
352,Flimty Raspberry Minuman Tinggi Serat,Rp95.800,Instant,1%
353,Flimty Mango Minuman Tinggi Serat,Rp95.800,Instant,1%
354,Iced Choco Black Forest - Regular,Rp22.500,Instant,10%
355,Iced Choco Black Forest - Large,Rp28.800,Instant,10%
356,Moontea Peach Oolong Brew Tea - Regular,Rp19.800,Instant,10%
357,Moontea Roasted Oolong Brew Tea - Large,Rp26.100,Instant,10%
358,Moontea Peach Oolong Milk Tea - Regular,Rp25.200,Instant,10%
359,Moontea Roasted Oolong Soy Milk Tea - Regular,Rp29.700,Instant,10%
360,Moontea Peach Oolong Soy Milk Tea - Regular,Rp29.700,Instant,10%
361,Moontea Roasted Oolong Soy Milk Tea - Large,Rp36.000,Instant,10%
362,Moontea Roasted Oolong Milk Tea - Large,Rp31.500,Instant,10%
363,Moontea Roasted Oolong Milk Tea - Regular,Rp25.200,Instant,10%
364,Moontea Peach Oolong Brew Tea - Large,Rp26.100,Instant,10%
365,Moontea Peach Oolong Milk Tea - Large,Rp31.500,Instant,10%
366,Moontea Peach Oolong Soy Milk Tea - Large,Rp36.000,Instant,10%
367,Moontea Roasted Oolong Brew Tea - Regular,Rp19.800,Instant,10%
368,Creamy Sea Salt Matcha Latte - Large,Rp34.200,Instant,5%
369,Coconut Cloud Matcha Latte - Large,Rp34.200,Instant,5%
370,Mango Coconut Matcha Latte - Large,Rp34.200,Instant,5%
371,Creamy Sea Salt Matcha Latte - Regular,Rp27.600,Instant,5%
372,Coconut Cloud Matcha Latte - Regular,Rp27.600,Instant,5%
373,Mango Coconut Matcha Latte - Regular,Rp27.600,Instant,5%
374,Liang Teh & Grass Jelly Large,Rp26.600,Instant,5%
375,Pink Lemonade - Large,Rp20.900,Instant,5%
376,Pink Lemonade - Regular,Rp16.200,Instant,5%
377,Creamy Sea Salt Cold Brew AC x Expat Roasters. - Large,Rp41.400,Instant,10%
378,Smooth Black Cold Brew AC x Expat Roasters. - Large,Rp38.700,Instant,10%
379,Peachy Yuzu Cold Brew AC x Expat Roasters. - Large,Rp41.400,Instant,10%
380,Americano,Rp57.000,Instant,5%
381,Kopi Susu Gula Aren,Rp80.800,Instant,5%
382,Kopi Susu Astronauts,Rp85.500,Instant,5%
383,Signature Chocolate,Rp80.800,Instant,5%
384,Signature Matcha Latte,Rp90.300,Instant,5%
385,Smooth Black Cold Brew AC x Expat Roasters. - Regular,Rp34.200,Instant,5%
386,Peachy Yuzu Cold Brew AC x Expat Roasters. - Regular,Rp36.100,Instant,5%
387,Creamy Sea Salt Cold Brew AC x Expat Roasters. - Regular,Rp36.100,Instant,5%
388,Es Markisa Jelly,Rp24.000,Instant,
389,Grass Jelly Milk Tea,Rp24.000,Instant,
390,Liang Teh & Grass Jelly Regular,Rp20.000,Instant,
391,Hibiscus Orange Tea with Boba & Honey Jelly - Regular,Rp20.000,Instant,
392,Butterfly Lemongrass Tea with Boba & Honey Jelly - Regular,Rp20.000,Instant,
393,Lemon Tea with Lychee Jelly - Large,Rp25.700,Instant,5%
394,Lemon Tea with Lychee Jelly - Regular,Rp19.000,Instant,5%
395,Mango Tea with Lychee Jelly - Large,Rp25.700,Instant,5%
396,Mango Tea with Lychee Jelly - Regular,Rp20.000,Instant,
397,Iced Kopi Susu Astronauts - Large,Rp25.500,Instant,15%
398,Iced Kopi Susu Astronauts - Regular,Rp18.300,Instant,15%
399,Oat Milk Iced Chocolate Regular,Rp26.500,Instant,
400,Oat Milk Iced Latte Regular,Rp26.600,Instant,5%
401,Oat Milk Es Kopi Susu Gula Aren Regular,Rp28.000,Instant,
402,Oat Milk Iced Matcha Latte Regular,Rp25.100,Instant,15%
403,Signature Iced Hazelnut Chocolate - Regular,Rp19.400,Instant,23%
404,Signature Iced Japanese Milk Tea - Regular,Rp26.500,Instant,
405,Iced Yuzu Lemon Tea - Regular,Rp14.700,Instant,6%
406,Iced Manuka Honey Black Tea - Regular,Rp21.000,Instant,
407,Signature Iced Matcha Latte - Regular,Rp23.500,Instant,8%
408,Signature Iced Hazelnut Chocolate - Large,Rp25.700,Instant,20%
409,Signature Iced Chocolate - Large,Rp23.300,Instant,5%
410,Signature Iced Chocolate - Regular,Rp17.600,Instant,5%
411,Signature Iced Black Tea - Regular,Rp11.700,Instant,10%
412,Iced Manuka Honey Green Tea - Regular,Rp21.000,Instant,
413,Iced Jasmine Green Tea - Regular,Rp13.000,Instant,
